_id,firstName,middleName,lastName,fullGivenName,nameNick,pos,height,weight,college,birthDate,birthCity,birthCountry,highSchool,hsCity,hsState,hsCountry,players_teams,awards_players
bennije01w,Jenni,,Benningfield,Jenni Benningfield,,F,75.0,185,Vanderbilt,1981-10-06,,,,,,,,
berezva01w,Valeriya,,Berezhynska,Valeriya Berezhynska,,C,76.0,0,Rice,1986-04-10,Nikolaev,URS,Northwest Christian Academy,Fort Worth,TX,USA,,
berggas01w,Ashley,,Berggren,Ashley Berggren,,G,70.0,170,Illinois,1976-11-18,,,,,,,,
berrysh01w,Shanda,,Berry,Shanda Berry,,F-C,75.0,175,Iowa,1967-07-06,,,,,,,,
berthlu01w,Lucienne,,Berthieu,Lucienne Berthieu,,F-C,74.0,188,Old Dominion,1978-03-31,,,,,,,,
berubca01w,Carla,,Berube,Carla Berube,,F,72.0,155,Connecticut,1975-09-02,,,,,,,,
beviltu01w,Tully,Louise,Bevilaqua (nee Crook),Tully Bevilaqua,,G,67.0,145,,1972-07-19,Merredin,AUS,,,,,,
bibbyhe01w,Henry,,Bibby,Henry Bibby,,,0.0,0,,0000-00-00,,,,,,,,
bibbyje01w,Jessica,,Bibby,Jessica Bibby,,G,67.0,139,,1979-08-23,,,,,,,,
bibrzag01w,Agnieszka,,Bibrzycka,Agnieszka Bibrzycka,,G-F,74.0,168,,1982-10-21,,,,,,,,
birdsu01w,Suzanne,Brigit,Bird,Sue Bird,Sue,G,69.0,150,Connecticut,1980-10-16,Syosset,USA,Christ the King,Middle Village,NY,USA,,
bishoab01w,Abby,,Bishop,Abby Bishop,,F-C,74.0,0,,1988-11-29,Booleroo Centre,AUS,,,,,,
bjedoni01w,Nina,,Bjedov,Nina Bjedov,,C,78.0,195,,1971-05-18,,,,,,,,
bjorkan01w,Angie,,Bjorklund,Angie Bjorklund,,F,72.0,166,Tennessee,1989-07-14,Spokane Valley,USA,University,Spokane Valley,WA,USA,,
bjorkte01w,Tera,,Bjorklund,Tera Bjorklund,,C,76.0,175,Colorado,1982-06-29,,,,,,,,
blackch01w,Chante,,Black,Chante Black,,C,77.0,188,Duke,1985-11-12,,,East Forsyth,Kernersville,NC,USA,,
blackde01w,Debbie,,Black,Debbie Black,,G,63.0,124,St. Joseph's,1966-07-29,,,,,,,,
bladerh01w,Rhonda,Renae,Blades,Rhonda Blades,,G,67.0,138,Vanderbilt,1972-10-29,Springfield,USA,Parkview,Springfield,MO,USA,,
blodgci01w,Cindy,Lee,Blodgett,Cindy Blodgett,,G,69.0,130,Maine,1975-12-23,Waterville,USA,Lawrence,Fairfield,ME,USA,,
blueni01w,Nikki,,Blue,Nikki Blue,,G,68.0,163,UCLA,1984-03-29,,,West Bakersfield,Bakersfield,CA,USA,,
blueoc01w,Octavia,,Blue,Octavia Blue,,F,73.0,163,Miami (FL),1976-08-18,,,,,,,,
bobbish01w,Shannon,,Bobbitt,Shannon Bobbitt,,G,62.0,130,Tennessee,1985-12-06,,,,,,,,
boddiwh01w,Whitney,Erinn,Boddie,Whitney Boddie,,G,69.0,149,Auburn,1987-01-23,,,Florence,Florence,AL,USA,,
boguemu01w,Muggsy,,Bogues,Muggsy Bogues,,,0.0,0,,0000-00-00,,,,,,,,
boldeba01w,Barbara,,Bolden,Barbara Bolden,,G,74.0,180,Louisiana Tech,1969-06-16,,,Huntington,Huntington,LA,USA,,
boltoru01w,Alice,Ruth,Bolton,Ruthie Bolton,Ruthie,G,69.0,150,Auburn,1967-05-25,Lucedale,USA,McClain,McClain,MS,USA,,
bondla01w,LaToya,,Bond,LaToya Bond,,G,67.0,132,Missouri,1984-02-13,,,,,,,,
bonfisu01w,Susanna,,Bonfiglio,Susanna Bonfiglio,,G,68.0,145,,1974-09-08,Savonna,ITA,,,,,,
bonnede01w,DeWanna,,Bonner,DeWanna Bonner,,G,76.0,136,Auburn,1987-08-21,,,Fairfield,Fairfield,AL,USA,,
bookeka01w,Karen,,Booker,Karen Booker,,C,73.0,170,Vanderbilt,1965-04-10,Franklin,USA,,,,,,
bosweca01w,Catherine,La Ora,Boswell,Cathy Boswell,Cathy,F-G,72.0,168,Illinois State,1962-11-10,Joliet,USA,,,,,,
bouceje01w,Jenny,,Boucek,Jenny Boucek,,G,68.0,130,Virginia,1973-12-20,,,,,,,,
bouchke01w,Kelly,Anne,Boucher,Kelly Boucher,,F,74.0,163,,1968-01-13,Calgary,CAN,,,,,,
bowenli01w,Lindsay,,Bowen,Lindsay Bowen,,G,67.0,145,Michigan State,1983-10-25,,,,,,,,
boydca01w,Carla,Maree,Boyd,Carla Boyd,,F,73.0,172,,1975-10-31,Wynyard,AUS,,,,,,
boyerli99w,Lisa,,Boyer,Lisa Boyer,,,0.0,0,,0000-00-00,,,,,,,,
bradlki01w,Kisa,,Bradley,Kisa Bradley,,F-C,77.0,185,Oral Roberts,1974-08-26,,,,,,,,
brancli01w,Lisa,,Branch,Lisa Branch,,G,64.0,0,Texas A&M,0000-00-00,,,,,,,,
branzal01w,Albena,Boicheva,Branzova,Albena Branzova,,F,76.0,180,Florida International,1971-07-17,,,,,,,,
branzge01w,Gergana,Boicheva,Branzova,Gergana Branzova,"Gigi,Branzi",F,76.0,175,Florida International,1976-07-25,Bourgas,BUL,Jurii Gagarin,Bourgas,,BUL,,
braxtja01w,Janice,Faye,Braxton (nee Lawrence),Janice Braxton,,F-C,75.0,178,Louisiana Tech,1973-10-06,Lucedale,USA,,,,,,
braxtka01w,Kara,,Braxton,Kara Braxton,,F-C,78.0,210,Georgia,1983-02-18,,,,,,,,
brazian01w,Angie,,Braziel,Angie Braziel,,F,74.0,169,Texas Tech,1976-09-18,,,,,,,,
brcanra01w,Razija,Mijanovic,Brcaninovic,Razija Brcaninovic,,C,80.0,198,none,1967-04-15,Ratkovac,YUG,,,,,,
brelaje01w,Jessica,,Breland,Jessica Breland,,F,75.0,170,North Carolina,1988-02-23,,,Bertie,Windsor,NC,USA,,
bristre01w,Reshea,,Bristol,Reshea Bristol,,G,70.0,139,Arizona,1978-02-10,,,,,,,,
brogami01w,Michelle,Kathleen,Brogan,Michelle Brogan,,F,73.0,177,,1973-02-08,Adelaid,AUS,,,,,,
brondsa01w,Sandra,Anne,Brondello,Sandy Brondello,Sandy,G,67.0,136,U. Western Sydney,1968-08-20,Eton,AUS,Mirani State,Mirani,Qld,AUS,,
brownci01w,Cynthia,Louise,Brown,Cindy Brown,Cindy,F-C,74.0,183,Long Beach State,1965-03-16,Portland,USA,Ulysses S. Grant,Portland,OR,USA,,
brownco01w,Coretta,,Brown,Coretta Brown,,G,69.0,150,North Carolina,1980-10-21,,,Southeast Bulloch,Brooklet,GA,USA,,
brownde01w,Dee,,Brown,Dee Brown,,,0.0,0,,0000-00-00,,,,,,,,
browned01w,Edwina,,Brown,Edwina Brown,,G-F,69.0,163,Texas,1978-07-01,,,,,,,,
brownki01w,Kiesha,,Brown,Kiesha Brown,,G,70.0,134,Georgia,1979-01-13,Atlanta,USA,Woodward Academy,Atlanta,GA,USA,,
brownla01w,La'Shawn,,Brown,La'Shawn Brown,,C,75.0,180,Louisiana Tech,1972-12-01,,,,,,,,
brownle01w,Lesley,,Brown,Lesley Brown,,F,72.0,166,Virginia,1977-06-03,,,,,,,,
brownru01w,Yerushia,,Brown,Rushia Brown,Rushia,F,74.0,175,Furman,1972-05-05,New York,USA,Summerville,Summerville,SC,USA,,
brucegr99w,Greg,,Bruce,Greg Bruce,,,0.0,0,,0000-00-00,,,,,,,,
brumfma01w,Marla,,Brumfield,Marla Brumfield,,G,68.0,133,Rice,1978-06-06,,,,,,,,
brungje01w,Jessica,,Brungo,Jessica Brungo,,F,73.0,165,Penn State,1982-04-16,,,,,,,,
brunsre01w,Rebekkah,,Brunson,Rebekkah Brunson,,F,75.0,175,Georgetown,1981-12-11,,,,,,,,
bryanjo01w,Joe,,Bryant,Joe Bryant,,,0.0,0,,0000-00-00,,,,,,,,
bullevi01w,Victoria,Andrea,Bullett,Vicky Bullett,Vicky,F,75.0,185,Maryland,1967-10-04,Martinsburg,USA,Martinsburg,Martinsburg,WV,USA,,
burgean01w,Annie,Lilian,Burgess,Annie Burgess,,G,67.0,141,,1969-04-10,Port Moresby,PNG,,,,,,
burgehe01w,Heather,,Burge,Heather Burge,,C,77.0,195,Virginia,1971-11-11,Harbor City,USA,Palos Verdes,Palos Verdes,CA,USA,,
burgehe02w,Heidi,Ann,Burge,Heidi Burge,,F,77.0,180,Virginia,1971-11-11,Harbor City,USA,Palos Verdes,Palos Verdes,CA,USA,,
burgeli01w,Linda,Gail,Burgess,Linda Burgess,,F,73.0,173,Alabama,1969-07-27,Madison,USA,Bob Jones,Madison,AL,USA,,
burraal01w,Alisa,,Burras,Alisa Burras,,C,75.0,218,Louisiana Tech,1975-06-23,,,,,,,,
burseja01w,Janell,,Burse,Janell Burse,,C,77.0,199,Tulane,1979-05-19,,,,,,,,
buttsta01w,Tasha,,Butts,Tasha Butts,,G,71.0,160,Tennessee,1982-03-10,,,,,,,,
byearla01w,Latasha,Nashay,Byears,Latasha Byears,,G-F,71.0,206,DePaul,1973-08-12,Memphis,USA,Bolton,Millington,TN,USA,,
byrdla01w,Laurie,,Byrd,Laurie Byrd,,G,66.0,131,Eastern Michigan,1960-02-01,,,,,,,,
cabezli01w,Liliana,,Cabezas,Liliana Cabezas,,F-C,75.0,178,Central Florida CC,1973-10-25,,COL,,,,,,
cainke01w,Kelley,,Cain,Kelley Cain,,C,78.0,220,Tennessee,1989-05-16,,,St. Pius X Catholic,Atlanta,GA,USA,,
camba01w,Elizabeth,,Cambage,Elizabeth Cambage,Liz,C,80.0,215,none,1991-08-18,Southwark,ENG,,,,,,
campbed01w,Edna,,Campbell,Edna Campbell,,G,68.0,152,Texas,1968-11-26,,,,,,,,
campbmi01w,Michelle,,Campbell,Michelle Campbell,,F-C,77.0,170,USC,1974-02-20,,,,,,,,
cantydo01w,Dominique,,Canty,Dominique Canty,,G-F,69.0,162,Alabama,1977-03-02,,,Whitney Young,Chicago,IL,USA,,
careyja01w,Jamie,,Carey,Jamie Carey,,G,66.0,135,Texas,1981-03-12,,,Horizon,Thornton,CO,USA,,
carsoes01w,Essence,,Carson,Essence Carson,,G-F,72.0,165,Rutgers,1986-07-28,,,Eastside,Paterson,NJ,USA,,
carteam01w,Amisha,,Carter,Amisha Carter,,F,74.0,185,Louisiana State,1982-06-21,,,,,,,,
cartede01w,Deborah,,Carter,Deborah Carter,,G-F,72.0,185,Georgia,1972-01-03,,,,,,,,
cartesy01w,Sydney,Rene,Carter,Sydney Carter,,G,66.0,0,Texas A&M,1990-11-18,Dallas,USA,DeSoto,DeSoto,TX,USA,,
cashsw01w,Swintayla,Marie,Cash,Swin Cash,Swin,F,73.0,162,Connecticut,1979-09-22,McKeesport,USA,McKeesport Area,McKeesport,PA,USA,,
cassija01w,Jamie,,Cassidy,Jamie Cassidy,,C,75.0,187,Maine,1978-09-12,,,,,,,,
castriz01w,Iziane,,Castro Marques,Iziane Castro Marques,,F-G,72.0,140,,1982-03-13,San Luis do Maranhao,BRA,,,,,,
catchta01w,Tamika,Devonne,Catchings,Tamika Catchings,,F,73.0,167,Tennessee,1979-07-21,Stratford,USA,Stevenson / Duncanville,Lincolnshire / Duncanville,IL / TX,USA,,
caufila01w,LaNeishea,,Caufield,LaNeishea Caufield,,G,69.0,159,Oklahoma,1980-05-25,,,,,,,,
cebriel01w,Elisabeth,,Cebrian Scheurer,Elisabeth Cebrian,"Betty,Gigante Femenino",C,77.0,190,none,1971-02-07,"Reus,Taragona",ESP,,,,,,
chacoke01w,Keri,,Chaconas,Keri Chaconas,,G,69.0,151,George Mason,1974-12-21,,,,,,,,
chambco01w,Cori,,Chambers,Cori Chambers,,G,69.0,160,Georgia,1985-07-06,,,,,,,,
chancva99w,Van,,Chancellor,Van Chancellor,,,0.0,0,,0000-00-00,,,,,,,,
chanequ01w,Quianna,,Chaney,Quianna Chaney,,G,71.0,160,Louisiana State,1986-04-14,,,,,,,,
chapmji01w,Jill,,Chapman-Daily,Jill Chapman-Daily,,C,75.0,206,Indiana,1979-11-04,,,,,,,,
charlda01w,Daedra,Janel,Charles,Daedra Charles,,F-C,75.0,141,Tennessee,1968-11-22,Detroit,USA,,,,,,
charlti01w,Tina,Alexandria,Charles,Tina Charles,,C,76.0,198,Connecticut,1988-12-05,Flushing,USA,Christ the King,Middle Village,NY,USA,,
chaseso01w,Sonia,Lynn,Chase,Sonia Chase,,G,69.0,150,Maryland,1976-03-09,Baltimore,USA,McDonough School,Owings Mills,MD,USA,,
chatmda99w,Dana,,Chatman,Dana Chatman,Pokey,,0.0,0,,0000-00-00,,,,,,,,
cheekjo01w,Joy,Kristin,Cheek,Joy Cheek,,F,73.0,201,Duke,1988-06-25,Hyattsville,USA,South Mecklenburg,Charlotte,NC,USA,,
cheruam01w,Amy,,Cherubini,Amy Cherubini,,G,70.0,140,Indiana,1970-04-18,,,,,,,,
chestfe01w,Felicia,,Chester,Felicia Chester,,F,75.0,180,DePaul,1988-03-24,St. Louis,USA,,,,,,
choneka01w,Kaayla,,Chones,Kaayla Chones,,C,75.0,180,North Carolina State,1981-01-11,,,,,,,,
chriska01w,Kayte,,Christensen,Kayte Christensen,,F,74.0,171,UC Santa Barbara,1980-11-16,,,,,,,,
chriska02w,Karima,Brittany,Christmas,Karima Christmas,,F,72.0,180,Duke,1989-09-11,Long Beach,USA,J. Frank Dobie,Houston,TX,USA,,
chrissh01w,Shameka,,Christon,Shameka Christon,,F,73.0,170,Arkansas,1982-02-15,,,,,,,,
cironkr01w,Kristi,Mary Rose,Cirone,Kristi Cirone,,G,68.0,150,Illinois State,1987-05-19,Chicago,USA,Resurrection,Chicago,IL,USA,,
clarkal01w,Alysha,,Clark,Alysha Clark,,F,70.0,167,Middle Tennessee State,1987-07-07,,,,,,,,
clarkma01w,Margold,,Clark,Margold Clark,,F-C,75.0,0,Arizona,1971-01-01,,,Senn Metropolitan Academy,Chicago,IL,USA,,
cleamji01w,Jim,,Cleamons,Jim Cleamons,,,0.0,0,,0000-00-00,,,,,,,,
clearmi01w,Michelle,Louise,Chandler Cleary,Michelle Cleary,,G,66.0,126,Australian Institute of Sport,1974-07-16,Geelong,AUS,,,,,,
clinest01w,Stacy,,Clinesmith,Stacy Clinesmith,,G,65.0,148,UC Santa Barbara,1978-04-22,,,,,,,,
coggicl01w,Claire,,Coggins,Claire Coggins,,G,71.0,170,Kansas State,1985-05-19,Lee Summit,USA,Lee Summit North,Lee Summit,MO,USA,,
cokermo01w,Monique,,Coker,Monique Coker,,F,73.0,180,Old Dominion,1982-11-28,,,,,,,,
colemco01w,Courtney,,Coleman,Courtney Coleman,,F,72.0,170,Ohio State,1981-04-13,,,,,,,,
colemma01w,Marissa,,Coleman,Marissa Coleman,,G-F,73.0,160,Maryland,1987-01-04,,,St. Johns College,Washington,DC,USA,,
colleka01w,Katrina,Yvette,Colleton,Katrina Colleton,Tree,G-F,70.0,145,Maryland,1971-03-17,Tampa,USA,East Bay,Tampa,FL,USA,,
colsosy01w,Sydney,,Colson,Sydney Colson,,G,68.0,140,Texas A&M,1989-08-06,Houston,USA,Westside,Houston,TX,USA,,
compame01w,Megan,Helen,Compain,Megan Compain,,G,69.0,143,St. Joseph's,1975-09-18,Wanganui,NZL,,,,,,
congran01w,Andrea,,Congreaves,Andrea Congreaves,,F-C,74.0,183,Mercer,1970-06-03,,,,,,,,
conklab01w,Abby,,Conklin,Abby Conklin,,F,75.0,175,Tennessee,1975-02-10,,,Charlestown,Charlestown,IN,USA,,
consuca01w,Cara,,Consuegra,Cara Consuegra,,G,68.0,144,Iowa,1979-03-04,,,,,,,,
coopeca01w,Camille,,Cooper,Camille Cooper,,C,76.0,176,Purdue,1979-02-05,,,,,,,,
coopecy01w,Cynthia,Lynne,Cooper,Cynthia Cooper,,G,70.0,150,USC,1963-04-14,Chicago,USA,,,,,,
coopemi01w,Michael,,Cooper,Michael Cooper,,,0.0,0,,0000-00-00,,,,,,,,
cowenda01w,Dave,,Cowens,Dave Cowens,,,0.0,0,,0000-00-00,,,,,,,,
coylepa99w,Pat,,Coyle,Pat Coyle,,,0.0,0,,0000-00-00,,,,,,,,
crawlsy01w,Sylvia,,Crawley,Sylvia Crawley,,F-C,77.0,187,North Carolina,1972-09-27,,,,,,,,
crockda01w,Danielle,,Crockrom,Danielle Crockrom,,F,73.0,158,Baylor,1981-02-11,,,,,,,,
crockwi01w,Willnett,,Crockett,Willnett Crockett,,F,74.0,215,Connecticut,1984-07-05,Los Angeles,USA,Nathaniel Narbonne,Harbor City,CA,USA,,
cronika01w,Katie,,Cronin,Katie Cronin,,G,72.0,155,Colorado State,1977-09-08,,,,,,,,
crosssh01w,Shanna,,Zolman Crossley,Shanna Zolman Crossley,,G,70.0,155,Tennessee,1983-09-07,,,Wawasee,Syracuse,IN,USA,,
crumpca01w,Cassandra,,Crumpton-Moorer,Cassandra Crumpton-Moorer,,G,70.0,158,Alabama,1962-10-29,,,,,,,,
cummiki01w,Kirsten,,Cummings,Kirsten Cummings,,F,75.0,188,Long Beach State,1963-08-29,,,,,,,,
cunnibe01w,Beth,,Morgan Cunningham,Beth Morgan Cunningham,,G,72.0,163,Notre Dame,1975-06-05,,,,,,,,
cunnida01w,Davalyn,,Cunningham,Davalyn Cunningham,,F,72.0,187,Rutgers,1980-01-27,,,,,,,,
cunnima01w,Mara,,Cunningham,Mara Cunningham,,F-C,76.0,0,Vanderbilt,1973-05-20,,,Fairfax,Fairfax,VA,USA,,
currimo01w,Monique,,Currie,Monique Currie,,F,72.0,177,Duke,1983-02-25,,,The Bullis School,Washington,DC,USA,,
curryed01w,Edniesha,,Curry,Edniesha Curry,,G,64.0,138,Oregon,1979-07-09,,,,,,,,
dailesh99w,Shell,,Dailey,Shell Dailey,,,0.0,0,,0000-00-00,,,,,,,,
dalesst01w,Stacey,,Dales,Stacey Dales,,G-F,72.0,155,Oklahoma,1979-09-05,Collingwood,CAN,,,,,,
daleygr01w,Grace,,Daley,Grace Daley,,G,66.0,147,Tulane,1978-06-26,,,,,,,,
darlihe01w,Helen,,Darling,Helen Darling,,G,66.0,164,Penn State,1978-08-29,,,Brookhaven,Columbus,OH,USA,,
darscna99w,Nancy,,Darsch,Nancy Darsch,,,0.0,0,,0000-00-00,,,,,,,,
davenje01w,Jessica,,Davenport,Jessica Davenport,,C,77.0,215,Ohio State,1985-06-24,,,Independence,Columbus,OH,USA,,
davisbr01w,Brandi,,Davis,Brandi Davis,,G,72.0,172,Oregon,1983-01-01,,,,,,,,
daviscl01w,Clarissa,Glennet,Davis-Wrightsil,Clarissa Davis-Wrightsil,,F,73.0,165,Texas,1967-06-04,San Antonio,USA,,,,,,
davisde01w,Deeona,,Davis,Dee Davis,Dee,G,67.0,138,Vanderbilt,1984-11-08,Cincinnati,USA,Princeton,Cincinnati,OH,USA,,
davisla01w,Latina,,Davis,Latina Davis,,G,67.0,145,Tennessee,1974-10-08,,,Franklin County,Winchester,TN,USA,,
davista01w,Tara,,Davis,Tara Davis,,F,70.0,160,Washington,1972-09-25,,,,,,,,
davista02w,Tanae,,Davis-Cain,Tanae Davis-Cain,,G,71.0,0,Florida State,1987-06-07,Dawson,USA,Terrell County,Dawson,GA,USA,,
dedenka01w,Karen,,Deden,Karen Deden,,F,76.0,170,Washington,1969-09-23,,,Sentinel,Missoula,MT,USA,,
deforan01w,Anna,,DeForge,Anna DeForge,,G,70.0,160,Nebraska,1976-04-14,,,,,,,,
derevje01w,Jennifer,,Derevjanik,Jennifer Derevjanik,,G,70.0,140,George Mason,1982-03-29,,,,,,,,
desouer01w,Erika,Cristina,de Souza,Erika Desouza,,F-C,77.0,190,,1982-03-03,Rio de Janeiro,BRA,,,,,,
dickeke01w,Keitha,,Dickerson,Keitha Dickerson,,F,71.0,165,Texas Tech,1978-04-20,,,Elk City,Elk City,OK,USA,,
dillata01w,Tai,,Dillard,Tai Dillard,,G,69.0,154,Texas,1981-05-06,,,,,,,,
