_id,year,tmID,games,minutes,points,steals,blocks
anderam01w,2006,CON,1,1,0,0,0
anderam01w,2006,NYL,3,9,0,1,0
anderch01w,2003,SAC,26,171,42,5,5
anderch01w,2004,SAC,30,231,77,3,6
anderch01w,2005,SAS,34,669,203,8,15
anderch01w,2006,SAS,23,414,153,7,10
anderch01w,2007,SAS,11,86,28,1,5
anderjo01w,2008,CON,24,367,97,7,1
anderke01w,1998,COL,44,559,174,55,2
anderke01w,1999,COL,13,324,77,31,0
anderke01w,2000,WAS,30,434,75,25,3
anderke01w,2001,CHA,18,102,12,6,0
anderke01w,2002,CHA,7,31,7,0,0
andrame01w,1999,CLE,32,364,71,18,4
andrame01w,2000,CLE,32,797,265,41,10
andrame01w,2001,CLE,32,893,152,51,10
andrame01w,2002,CLE,32,665,91,29,6
andrame01w,2004,CHA,12,65,9,0,1
angelyv01w,1997,SAC,5,90,14,4,1
anosini01w,2008,MIN,34,920,314,75,43
anosini01w,2009,MIN,30,896,396,81,28
anosini01w,2010,MIN,31,928,285,62,32
anosini01w,2011,WAS,34,924,239,49,28
anosini01w,2012,LAS,10,57,10,3,2
appelja01w,2010,SAS,28,306,96,7,5
appelja01w,2011,SAS,31,452,99,17,20
appelja01w,2012,SAS,33,625,116,18,29
arcaija01w,1997,HOU,28,784,305,43,4
arcaija01w,1998,HOU,30,657,205,25,3
arcaija01w,1999,HOU,32,735,187,30,2
arcaija01w,2000,HOU,32,977,268,42,3
arcaija01w,2001,HOU,32,1154,591,60,3
arcaija01w,2002,HOU,32,1116,364,51,6
arcaija01w,2003,HOU,34,1136,390,41,1
arcaija01w,2005,HOU,34,1079,342,55,6
artiska01w,1997,CHA,20,113,16,6,1
askamma01w,1997,PHO,28,517,211,21,9
askamma01w,1998,PHO,26,319,139,12,7
askamma01w,1999,PHO,30,781,283,22,18
askamma01w,2000,MIA,32,869,251,17,21
askamma01w,2001,MIA,30,431,74,12,11
askamma01w,2002,LAS,20,215,61,11,4
askamma01w,2002,MIA,6,72,11,1,1
atkinla01w,2006,IND,33,417,99,18,5
atkinla01w,2007,SAC,28,226,58,10,5
atkinla01w,2008,SAC,5,73,14,5,2
atkinla01w,2009,SEA,2,46,5,10,1
atunrmo01w,2008,SAS,33,348,71,16,13
augusse01w,2006,MIN,34,1124,744,21,18
augusse01w,2007,MIN,34,1093,769,41,21
augusse01w,2008,MIN,31,1042,591,32,12
augusse01w,2009,MIN,6,178,126,12,3
augusse01w,2010,MIN,25,832,422,17,7
augusse01w,2011,MIN,34,997,551,30,15
augusse01w,2012,MIN,29,826,481,27,6
aycocan01w,1997,SER,40,782,295,44,4
aycocan01w,1998,SER,43,1024,269,56,11
aycocan01w,1999,SER,15,382,130,17,2
aycocan01w,1999,PHO,8,30,4,2,0
aycocan01w,2000,MIN,3,6,0,0,0
aycocan01w,2000,SEA,1,7,0,0,0
ayimmi01w,2011,TUL,3,42,8,2,1
azizle01w,2003,IND,7,44,10,0,4
azzije01w,1997,SJL,11,416,183,20,2
azzije01w,1998,SJL,44,1588,649,81,8
azzije01w,1999,SJL,15,560,217,25,2
azzije01w,1999,DET,28,838,302,24,4
azzije01w,2000,UTA,15,559,144,12,5
azzije01w,2001,UTA,32,1205,276,22,10
azzije01w,2002,UTA,32,1151,306,27,14
azzije01w,2003,SAS,34,1136,260,27,9
badertr01w,1998,UTA,22,206,46,13,0
badertr01w,1999,CLE,9,72,5,3,0
badertr01w,1999,UTA,7,34,2,3,1
badertr01w,2000,CLE,25,201,47,17,1
badertr01w,2001,CLE,19,114,21,5,0
badertr01w,2002,CLE,18,132,14,6,1
bakerla01w,1999,CHC,2,40,24,3,0
bakersh01w,2006,NYL,34,614,251,46,2
bakersh01w,2007,LAS,24,492,203,36,2
bakersh01w,2007,NYL,3,13,5,0,0
bakersh01w,2008,IND,13,110,49,9,1
bakersh01w,2009,DET,1,11,7,1,0
balesal01w,2007,IND,17,169,55,4,13
balesal01w,2008,ATL,17,389,82,15,29
balesal01w,2008,IND,14,126,37,5,14
balesal01w,2010,ATL,34,529,132,24,39
balesal01w,2011,ATL,34,687,170,15,53
banchrh01w,1997,SER,33,514,190,19,5
banchrh01w,1998,SER,34,271,93,6,0
banchrh01w,1999,PRT,13,110,48,1,0
banchrh01w,2000,SAC,9,21,6,0,0
baranel01w,1997,UTA,28,913,341,43,63
baranel01w,1998,UTA,20,671,258,21,30
baranel01w,1999,UTA,29,572,173,20,23
baranel01w,2001,MIA,32,984,378,33,57
baranel01w,2003,NYL,33,850,278,36,43
baranel01w,2004,NYL,34,1048,394,37,58
baranel01w,2005,NYL,33,953,288,25,46
barksla01w,2001,POR,5,35,2,2,0
barksla01w,2002,POR,17,285,100,8,7
barksla01w,2003,SAS,26,168,59,1,3
barnead01w,1998,SAC,29,619,219,14,10
barnead01w,1999,MIN,19,91,21,5,0
barnead01w,2000,CLE,5,18,8,0,0
barnead01w,2001,CLE,3,3,2,0,0
barnead01w,2002,SEA,26,493,90,32,9
barnead01w,2003,SEA,16,396,88,11,7
barnead01w,2004,SEA,34,402,67,23,2
barnequ01w,1998,SAC,17,90,16,1,6
barnequ01w,2000,SEA,31,705,209,19,33
barnequ01w,2001,SEA,20,229,68,9,6
barnequ01w,2002,PHO,2,13,3,1,2
bassmi01w,2010,CHI,34,642,166,19,15
bassmi01w,2012,CON,32,598,255,24,13
batkosu01w,2005,SEA,29,461,199,17,24
batkosu01w,2009,SEA,20,147,47,5,6
batteja01w,2005,MIN,8,46,0,0,1
batteja01w,2006,DET,26,178,36,2,3
battlas01w,2005,SEA,2,8,2,0,0
battlas01w,2006,NYL,33,455,143,31,3
battlas01w,2007,NYL,34,757,252,35,2
battlas01w,2008,NYL,34,336,121,15,1
battlas01w,2009,NYL,34,548,177,31,2
battlas01w,2010,SAS,5,35,8,0,0
bauerca01w,1997,CLS,31,188,83,4,0
bauerca01w,1998,LON,44,614,211,11,5
bauerca01w,1999,PHR,12,275,89,6,1
bauerca01w,1999,CHA,25,123,33,1,1
bauerca01w,2000,CHA,29,398,76,8,3
bauerca01w,2001,WAS,15,102,15,2,1
bauerca01w,2002,SAC,25,233,43,2,5
beardal01w,2004,WAS,34,1025,446,69,34
beardal01w,2005,WAS,30,1015,422,45,9
beardal01w,2006,WAS,32,994,614,59,25
beardal01w,2007,WAS,33,1169,622,64,24
beardal01w,2008,WAS,33,1092,532,55,19
beardal01w,2009,WAS,31,985,492,72,18
beardal01w,2012,LAS,33,1,375,66,13
becenry01w,1997,PHO,1,8,0,1,0
beckki01w,2008,SEA,17,93,17,4,2
bellje01w,1999,COL,2,10,2,0,0
bennije01w,2005,IND,10,52,9,1,1
berezva01w,2008,SAS,2,6,0,0,0
berggas01w,1999,CHC,11,69,17,6,0
berrysh01w,1997,NEW,39,1139,561,52,12
berrysh01w,1998,NEW,44,845,324,37,19
berthlu01w,2002,CLE,5,16,8,0,0
berthlu01w,2003,CLE,22,201,84,10,4
berthlu01w,2004,HOU,16,134,37,6,2
berubca01w,1998,NEW,35,312,96,11,0
berubca01w,1999,NEW,11,96,22,5,0
beviltu01w,1998,CLE,12,126,23,12,2
beviltu01w,2000,POR,32,796,153,41,6
beviltu01w,2001,POR,31,788,153,59,6
beviltu01w,2002,POR,27,421,84,22,3
beviltu01w,2003,SEA,31,252,58,14,1
beviltu01w,2004,SEA,34,358,79,38,2
beviltu01w,2005,IND,31,873,194,60,0
beviltu01w,2006,IND,34,999,223,71,1
beviltu01w,2007,IND,34,901,180,56,2
beviltu01w,2008,IND,30,876,175,59,4
beviltu01w,2009,IND,34,861,209,62,8
beviltu01w,2010,IND,34,659,132,48,4
beviltu01w,2011,SAS,34,494,99,24,2
beviltu01w,2012,SAS,28,157,6,7,1
bibbyje01w,2000,NYL,17,69,19,3,0
bibrzag01w,2004,SAS,24,465,159,21,7
bibrzag01w,2006,SAS,32,751,361,26,12
birdsu01w,2002,SEA,32,1121,461,55,3
birdsu01w,2003,SEA,34,1136,420,48,1
birdsu01w,2004,SEA,34,1136,439,51,5
birdsu01w,2005,SEA,30,1020,364,29,6
birdsu01w,2006,SEA,34,1065,389,61,5
birdsu01w,2007,SEA,29,919,303,43,8
birdsu01w,2008,SEA,33,1111,465,39,3
birdsu01w,2009,SEA,31,1101,397,47,3
birdsu01w,2010,SEA,33,1005,365,50,5
birdsu01w,2011,SEA,34,1123,500,48,6
birdsu01w,2012,SEA,29,898,355,26,3
bishoab01w,2010,SEA,16,109,44,2,1
bjedoni01w,1999,LAS,27,431,121,9,22
bjorkan01w,2011,CHI,7,43,8,1,0
bjorkte01w,2004,CHA,4,13,2,0,0
blackch01w,2009,CON,33,428,97,13,27
blackch01w,2010,TUL,34,712,177,18,54
blackch01w,2012,TUL,29,366,92,15,18
blackde01w,1997,COL,40,1400,306,177,3
blackde01w,1998,COL,44,1479,296,109,3
blackde01w,1999,COL,13,425,92,44,2
blackde01w,1999,UTA,32,1014,163,77,6
blackde01w,2000,MIA,32,820,152,58,1
blackde01w,2001,MIA,32,946,180,82,2
blackde01w,2002,MIA,32,899,153,59,5
blackde01w,2003,CON,34,373,55,20,2
blackde01w,2004,CON,31,347,55,19,0
bladerh01w,1997,NYL,28,290,80,14,1
bladerh01w,1998,DET,29,340,66,12,1
blodgci01w,1998,CLE,22,184,63,9,0
blodgci01w,1999,SAC,12,34,11,1,0
blodgci01w,2000,SAC,20,133,52,8,1
blodgci01w,2001,SAC,11,72,34,6,1
blueni01w,2006,WAS,24,181,54,18,0
blueni01w,2007,WAS,30,420,107,22,5
blueni01w,2008,WAS,26,537,99,19,2
blueni01w,2009,WAS,16,91,24,7,0
blueni01w,2010,NYL,15,77,18,4,0
blueoc01w,1998,LAS,30,331,73,13,3
blueoc01w,2003,HOU,16,37,4,0,0
blueoc01w,2004,HOU,13,155,44,1,0
bobbish01w,2008,LAS,26,552,106,25,1
bobbish01w,2009,LAS,33,353,71,15,1
bobbish01w,2011,IND,31,439,122,30,0
bobbish01w,2012,WAS,28,418,78,14,2
boddiwh01w,2009,SAC,4,9,2,1,0
boldeba01w,1999,NEW,9,127,33,10,2
boltoru01w,1997,SAC,23,813,447,54,1
boltoru01w,1998,SAC,5,133,55,6,0
boltoru01w,1999,SAC,31,970,421,31,0
boltoru01w,2000,SAC,29,868,380,34,1
boltoru01w,2001,SAC,31,582,222,28,1
boltoru01w,2002,SAC,32,737,349,45,2
boltoru01w,2003,SAC,33,521,149,33,2
boltoru01w,2004,SAC,34,469,160,23,0
bondla01w,2006,CHA,34,614,193,35,8
bondla01w,2008,IND,32,325,74,15,4
bonfisu01w,2002,PHO,22,306,105,12,0
bonnede01w,2009,PHO,34,724,381,23,25
bonnede01w,2010,PHO,32,813,383,22,37
bonnede01w,2011,PHO,34,857,365,34,36
bonnede01w,2012,PHO,32,1,660,54,28
bookeka01w,1997,UTA,26,321,61,24,15
bookeka01w,1998,HOU,1,2,0,1,0
bosweca01w,1998,ATG,37,679,219,26,2
bosweca01w,1999,CHC,2,60,23,3,1
bouceje01w,1997,CLE,10,112,18,6,0
bouchke01w,1998,CHA,9,52,10,1,0
bowenli01w,2007,NYL,6,37,9,0,0
boydca01w,1998,DET,30,817,245,27,10
boydca01w,1999,DET,32,694,172,24,8
boydca01w,2001,DET,21,230,75,11,2
bradlki01w,1998,SJL,25,85,48,4,2
brancli01w,1997,COL,4,8,6,1,0
branzal01w,1998,NYL,11,94,23,3,1
branzge01w,1998,DET,26,204,69,3,4
braxtja01w,1997,CLE,25,822,287,36,28
braxtja01w,1998,CLE,30,840,295,51,15
braxtja01w,1999,CLE,26,476,151,19,13
braxtka01w,2005,DET,33,455,227,18,13
braxtka01w,2006,DET,34,359,146,11,11
braxtka01w,2007,DET,31,545,207,14,16
braxtka01w,2008,DET,33,590,295,14,24
braxtka01w,2009,DET,28,504,252,19,18
braxtka01w,2010,PHO,13,224,144,8,5
braxtka01w,2010,PHO,13,224,144,8,5
braxtka01w,2010,TUL,22,369,204,25,17
braxtka01w,2011,NYL,13,166,51,5,6
braxtka01w,2011,PHO,18,356,191,15,14
braxtka01w,2012,NYL,34,535,223,17,21
brazian01w,1999,CHA,7,41,24,2,0
brazian01w,2000,CHA,22,203,51,5,0
brazian01w,2001,IND,23,341,127,9,13
brcanra01w,1998,DET,30,695,272,9,26
brelaje01w,2011,CON,4,6,2,0,1
brelaje01w,2011,NYL,9,69,18,2,6
bristre01w,2001,CHA,1,5,0,0,0
brogami01w,1998,PHO,30,779,275,44,5
brogami01w,2000,PHO,28,725,211,30,6
brondsa01w,1998,DET,30,993,426,38,1
brondsa01w,1999,DET,32,1002,424,25,5
brondsa01w,2001,MIA,29,850,367,28,4
brondsa01w,2002,MIA,30,763,263,26,4
brondsa01w,2003,SEA,34,975,280,31,2
brownci01w,1997,SER,38,1181,665,100,32
brownci01w,1998,DET,30,965,354,51,22
brownci01w,1999,DET,21,490,144,25,12
brownci01w,1999,UTA,9,156,34,9,2
brownco01w,2003,IND,30,522,186,21,4
brownco01w,2004,IND,26,398,104,7,1
brownco01w,2005,IND,6,23,6,1,0
brownco01w,2006,CHI,15,252,48,10,0
browned01w,2000,DET,32,619,188,24,5
browned01w,2001,DET,32,800,237,33,7
browned01w,2002,DET,28,549,115,25,7
browned01w,2003,PHO,34,524,118,30,7
browned01w,2006,HOU,4,28,4,1,0
brownki01w,2002,WAS,18,108,28,5,0
brownki01w,2003,WAS,27,269,60,13,1
brownki01w,2004,WAS,26,371,104,13,2
brownki01w,2005,HOU,4,18,0,1,0
brownki01w,2005,WAS,2,14,2,2,0
brownki01w,2006,NYL,16,58,20,2,0
brownki01w,2007,LAS,27,327,131,12,3
brownki01w,2007,MIN,3,29,11,1,1
brownki01w,2008,LAS,32,530,158,19,0
brownki01w,2009,CON,34,393,130,13,3
brownki01w,2010,TUL,27,481,153,15,0
brownla01w,1997,CLS,18,90,18,3,3
brownla01w,1998,WAS,22,272,43,10,20
brownle01w,1999,DET,13,43,19,1,1
brownru01w,1997,CLE,28,511,175,34,14
brownru01w,1998,CLE,30,522,194,34,16
brownru01w,1999,CLE,30,434,131,19,10
brownru01w,2000,CLE,30,679,253,38,13
brownru01w,2001,CLE,30,760,249,44,10
brownru01w,2002,CLE,28,468,112,21,8
brownru01w,2003,CHA,34,483,125,29,10
brumfma01w,2000,MIN,32,613,124,22,2
brumfma01w,2001,MIA,27,247,44,20,0
brumfma01w,2003,CHA,25,123,18,1,1
brungje01w,2004,CON,33,314,50,4,4
brungje01w,2005,CON,12,47,2,0,0
brungje01w,2006,CON,4,7,0,0,0
brunsre01w,2004,SAC,34,494,151,23,13
brunsre01w,2005,SAC,34,722,265,28,15
brunsre01w,2006,SAC,34,597,232,21,15
brunsre01w,2007,SAC,33,932,378,44,31
brunsre01w,2008,SAC,30,779,327,36,20
brunsre01w,2009,SAC,27,665,331,40,16
brunsre01w,2010,MIN,30,915,340,36,29
brunsre01w,2011,MIN,34,938,348,28,18
brunsre01w,2012,MIN,31,837,352,37,29
bullevi01w,1997,CHA,28,875,359,54,55
bullevi01w,1998,CHA,30,947,399,66,46
bullevi01w,1999,CHA,32,1008,369,62,45
bullevi01w,2000,WAS,32,1094,342,64,47
bullevi01w,2001,WAS,32,1073,278,53,58
bullevi01w,2002,WAS,32,953,271,54,37
burgean01w,1999,MIN,25,333,59,8,0
burgean01w,2001,WAS,31,731,124,26,2
burgean01w,2002,WAS,26,632,125,34,4
burgean01w,2003,WAS,34,841,131,27,1
burgehe01w,1997,LAS,22,282,87,12,12
burgehe01w,1998,WAS,30,501,201,16,15
burgehe02w,1999,SAC,13,28,7,2,2
burgeli01w,1997,LAS,28,492,183,20,13
burgeli01w,1998,SAC,30,692,226,42,11
burgeli01w,1999,SAC,27,233,97,6,2
burgeli01w,2000,SAC,5,41,12,1,0
burraal01w,1999,COL,13,221,88,9,5
burraal01w,1999,CLE,31,563,232,17,10
burraal01w,2000,POR,21,314,159,3,7
burraal01w,2001,POR,26,272,106,5,3
burraal01w,2002,POR,32,633,278,10,7
burraal01w,2003,SEA,27,270,89,5,5
burseja01w,2001,MIN,20,169,47,2,15
burseja01w,2002,MIN,31,344,83,7,13
burseja01w,2003,MIN,29,438,206,13,28
burseja01w,2004,SEA,29,514,141,23,36
burseja01w,2005,SEA,34,859,340,19,40
burseja01w,2006,SEA,27,737,300,17,25
burseja01w,2007,SEA,29,709,256,13,28
burseja01w,2009,SEA,34,541,207,21,31
buttsta01w,2004,MIN,30,423,76,13,7
byearla01w,1997,SAC,28,656,244,39,8
byearla01w,1998,SAC,30,828,427,43,13
byearla01w,1999,SAC,32,705,295,36,6
byearla01w,2000,SAC,32,521,181,30,5
byearla01w,2001,LAS,32,739,297,42,13
byearla01w,2002,LAS,26,486,182,19,4
byearla01w,2003,LAS,5,72,28,0,2
byearla01w,2006,WAS,26,330,112,12,2
byearla01w,2007,HOU,30,327,151,23,5
byearla01w,2008,HOU,11,46,18,3,0
byrdla01w,1997,ATG,35,716,254,18,1
byrdla01w,1998,SJL,28,82,33,1,0
cabezli01w,1999,PHR,4,6,1,0,0
cainke01w,2012,NYL,20,136,23,2,4
camba01w,2011,TUL,33,659,380,28,29
campbed01w,1997,COL,40,1279,566,72,12
campbed01w,1998,COL,44,1333,613,54,17
campbed01w,1999,COL,13,452,225,15,2
campbed01w,1999,PHO,28,750,268,25,10
campbed01w,2000,SEA,16,510,222,19,4
campbed01w,2001,SAC,32,854,260,19,9
campbed01w,2002,SAC,1,12,4,1,0
campbed01w,2003,SAC,34,724,267,21,5
campbed01w,2004,SAC,22,332,74,5,2
campbed01w,2005,SAS,28,248,48,7,0
campbmi01w,1998,PHR,33,179,43,7,6
campbmi01w,1999,UTA,8,30,8,0,0
campbmi01w,2000,WAS,5,22,6,0,1
cantydo01w,1999,DET,26,646,249,26,1
cantydo01w,2000,DET,28,784,257,49,5
cantydo01w,2001,DET,32,625,197,31,1
cantydo01w,2002,DET,28,625,160,21,4
cantydo01w,2003,HOU,32,648,172,22,1
cantydo01w,2004,HOU,32,770,177,32,1
cantydo01w,2005,HOU,33,997,270,29,2
cantydo01w,2006,HOU,15,431,164,17,0
cantydo01w,2007,CHI,30,776,259,30,4
cantydo01w,2008,CHI,28,737,226,28,3
cantydo01w,2009,CHI,34,776,234,28,5
cantydo01w,2010,CHI,34,884,307,33,7
cantydo01w,2011,CHI,22,331,90,10,2
cantydo01w,2012,WAS,6,72,17,2,0
careyja01w,2005,CON,15,86,18,2,0
careyja01w,2006,CON,24,286,63,7,0
careyja01w,2007,CON,33,419,112,4,0
careyja01w,2008,CON,33,499,137,8,1
carsoes01w,2008,NYL,34,646,223,32,8
carsoes01w,2009,NYL,34,859,340,37,10
carsoes01w,2010,NYL,34,325,126,14,8
carsoes01w,2011,NYL,32,725,361,38,20
carsoes01w,2012,NYL,34,927,394,37,25
carteam01w,2004,DET,2,13,1,2,0
carteam01w,2005,NYL,3,13,0,0,0
cartede01w,1997,UTA,19,286,76,13,1
cartede01w,1998,WAS,29,434,111,16,4
cartesy01w,2012,CHI,1,9,4,1,0
cashsw01w,2002,DET,32,1079,474,37,31
cashsw01w,2003,DET,33,1097,548,43,23
cashsw01w,2004,DET,32,1105,526,44,29
cashsw01w,2005,DET,21,458,119,12,6
cashsw01w,2006,DET,34,990,358,20,11
cashsw01w,2007,DET,31,959,344,19,13
cashsw01w,2008,SEA,31,927,351,21,32
cashsw01w,2009,SEA,32,1094,390,28,16
cashsw01w,2010,SEA,34,1046,470,19,17
cashsw01w,2011,SEA,34,1128,452,32,21
cashsw01w,2012,CHI,34,1,359,34,17
cassija01w,2000,MIA,22,175,74,5,2
castriz01w,2002,MIA,19,182,66,7,0
castriz01w,2003,PHO,16,178,69,6,1
castriz01w,2005,SEA,33,879,269,18,4
castriz01w,2006,SEA,34,655,246,23,2
castriz01w,2007,SEA,34,963,419,35,4
castriz01w,2008,ATL,29,671,269,27,6
castriz01w,2009,ATL,34,915,488,36,2
castriz01w,2010,ATL,34,984,575,28,2
castriz01w,2011,ATL,34,672,259,13,4
castriz01w,2012,WAS,11,132,34,3,0
catchta01w,2002,IND,32,1167,594,94,43
catchta01w,2003,IND,34,1210,671,72,35
catchta01w,2004,IND,34,1149,568,67,38
catchta01w,2005,IND,34,1174,501,90,16
catchta01w,2006,IND,32,1071,521,94,35
catchta01w,2007,IND,21,678,348,66,22
catchta01w,2008,IND,25,694,332,49,11
catchta01w,2009,IND,34,1084,512,99,18
catchta01w,2010,IND,34,1068,618,77,30
catchta01w,2011,IND,33,1040,511,67,30
catchta01w,2012,IND,34,1,590,70,29
caufila01w,2002,UTA,8,65,19,7,0
cebriel01w,1998,NYL,22,187,38,1,7
chacoke01w,1998,WAS,30,397,144,13,0
chambco01w,2007,CON,1,1,0,0,0
chanequ01w,2008,CHI,28,241,68,16,3
chapmji01w,2002,DET,19,119,22,3,2
charlda01w,1997,LAS,28,282,64,10,10
charlti01w,2010,CON,34,1054,528,25,57
charlti01w,2011,CON,34,1136,600,26,60
charlti01w,2012,CON,33,1,594,17,47
chaseso01w,1998,CHA,23,166,34,5,0
chaseso01w,1999,CHA,13,58,11,4,0
cheekjo01w,2010,IND,7,34,15,0,0
cheekjo01w,2011,WAS,3,16,3,0,1
cheruam01w,1998,ATG,13,85,13,3,1
chestfe01w,2011,NYL,4,27,2,1,0
choneka01w,2004,WAS,13,115,28,1,4
choneka01w,2005,WAS,12,61,14,1,0
choneka01w,2006,SEA,3,16,0,0,0
chriska01w,2002,PHO,30,413,120,24,13
chriska01w,2003,PHO,30,659,206,25,16
chriska01w,2004,PHO,32,407,50,21,7
chriska01w,2005,PHO,11,108,18,7,5
chriska01w,2006,HOU,6,88,18,0,0
chriska01w,2006,PHO,11,53,3,3,1
chriska01w,2007,CHI,23,212,48,10,5
chriska02w,2011,TUL,17,166,54,6,3
chriska02w,2011,WAS,14,142,47,8,1
chriska02w,2012,IND,16,174,46,13,4
chrissh01w,2004,NYL,33,560,191,9,9
chrissh01w,2005,NYL,34,809,311,33,19
chrissh01w,2006,NYL,34,987,423,20,42
chrissh01w,2007,NYL,33,1065,368,34,19
chrissh01w,2008,NYL,31,947,488,35,17
chrissh01w,2009,NYL,32,1014,514,28,27
chrissh01w,2010,CHI,10,213,85,3,2
chrissh01w,2012,SAS,34,695,270,18,16
cironkr01w,2009,CON,4,23,7,2,0
clarkal01w,2012,SEA,23,238,79,5,1
clarkma01w,1997,SAC,5,46,7,1,1
clearmi01w,2000,PHO,24,509,57,34,2
clearmi01w,2001,PHO,4,49,2,2,0
clinest01w,2000,SAC,26,285,66,12,1
clinest01w,2001,SAC,16,75,10,1,0
clinest01w,2002,DET,12,105,27,1,1
coggicl01w,2007,CHI,20,196,49,5,1
cokermo01w,2004,LAS,3,14,3,0,1
colemco01w,2003,CON,20,141,36,8,2
colemma01w,2009,WAS,28,525,171,20,9
colemma01w,2010,WAS,34,663,222,29,12
colemma01w,2011,WAS,34,918,292,24,14
colemma01w,2012,LAS,34,548,106,21,8
colleka01w,1997,LAS,28,613,136,35,9
colleka01w,1998,LAS,30,575,80,18,11
colleka01w,2000,MIA,32,873,264,27,7
colleka01w,2001,MIA,14,121,26,2,1
colsosy01w,2011,NYL,16,86,22,4,2
compame01w,1997,UTA,4,19,0,4,1
congran01w,1997,CHA,28,658,187,16,5
congran01w,1998,CHA,24,372,104,11,5
congran01w,1999,ORL,32,812,209,24,7
conklab01w,1998,ATG,44,585,123,11,11
consuca01w,2001,UTA,15,50,2,4,0
coopeca01w,2001,NYL,4,51,26,0,2
coopeca01w,2002,NYL,23,119,27,4,5
coopecy01w,1997,HOU,28,982,621,59,6
coopecy01w,1998,HOU,30,1051,680,48,11
coopecy01w,1999,HOU,31,1101,686,43,11
coopecy01w,2000,HOU,31,1085,550,39,6
coopecy01w,2003,HOU,4,144,64,4,1
crawlsy01w,1997,COL,40,1132,473,35,31
crawlsy01w,1998,COL,33,490,159,9,17
crawlsy01w,1998,PRT,10,76,16,4,0
crawlsy01w,1999,PRT,12,123,28,6,2
crawlsy01w,2000,POR,31,930,357,29,24
crawlsy01w,2001,POR,32,921,299,19,26
crawlsy01w,2002,POR,32,819,279,18,37
crawlsy01w,2003,SAS,33,564,115,18,19
crockda01w,2002,UTA,18,84,29,0,2
crockwi01w,2008,PHO,5,41,9,4,1
cronika01w,2006,CHI,11,134,24,6,2
crumpca01w,1997,ATG,1,3,0,0,0
crumpca01w,1997,NYL,2,11,2,0,0
cummiki01w,1998,PHR,20,159,41,4,3
cunnibe01w,1998,PHR,44,609,265,10,1
cunnibe01w,1999,PHR,13,74,30,1,0
cunnibe01w,2000,WAS,21,198,59,2,0
cunnida01w,2002,ORL,6,21,0,2,0
cunnima01w,1997,COL,40,458,105,9,16
currimo01w,2006,CHA,34,844,339,34,4
currimo01w,2007,CHI,2,61,29,1,0
currimo01w,2007,WAS,31,771,325,23,7
currimo01w,2008,WAS,34,972,403,30,12
currimo01w,2009,WAS,34,728,278,29,14
currimo01w,2010,WAS,34,891,479,49,14
currimo01w,2011,WAS,4,77,47,7,0
currimo01w,2012,WAS,34,820,407,35,7
curryed01w,2003,PHO,20,205,33,9,0
curryed01w,2005,LAS,13,113,23,7,1
dalesst01w,2002,WAS,31,805,303,16,4
dalesst01w,2003,WAS,34,998,340,29,12
dalesst01w,2004,WAS,31,782,254,20,3
dalesst01w,2006,CHI,23,454,161,9,1
dalesst01w,2007,CHI,31,845,319,20,0
daleygr01w,2000,MIN,30,577,173,12,0
daleygr01w,2001,NYL,15,66,25,8,1
daleygr01w,2002,HOU,23,185,63,3,1
daleygr01w,2003,PHO,3,28,2,0,1
darlihe01w,2000,CLE,32,556,155,37,5
darlihe01w,2001,CLE,32,778,196,34,4
