_id,award,year,pos
jacksla01w,WNBA Finals Most Valuable Player,2010,F
johnste01w,Rookie of the Year,2005,
johnsvi01w,Kim Perrot Sportsmanship Award,2008,
laimbbi01w,Coach of the Year,2003,
langhcr01w,Most Improved Player,2009,
lawsoka01w,Kim Perrot Sportsmanship,2009,
lawsoka01w,Kim Perrot Sportsmanship,2012,G
lennobe01w,Rookie of the Year,2000,
lennobe01w,WNBA Finals Most Valuable Player,2004,
leslili01w,All-Star Game Most Valuable Player,1999,
leslili01w,All-Star Game Most Valuable Player,2001,
leslili01w,All-Star Game Most Valuable Player,2002,
leslili01w,Defensive Player of the Year,2004,
leslili01w,Defensive Player of the Year,2008,
leslili01w,Most Valuable Player,2001,
leslili01w,Most Valuable Player,2004,
leslili01w,Most Valuable Player,2006,
leslili01w,WNBA Finals Most Valuable Player,2001,
leslili01w,WNBA Finals Most Valuable Player,2002,
leslili01w,WNBA All-Decade Team,2006,C
mccarja01w,Most Improved Player,2007,
mcconsu01w,Coach of the Year,2004,
mcconsu01w,Kim Perrot Sportsmanship Award,1998,
mcconsu01w,Kim Perrot Sportsmanship Award,2000,
mcconsu01w,Newcomer of the Year,1998,
mccouan01w,Rookie of the Year,2009,
mccouan01w,Peak Performer: Points,2012,G-F
mccrani01w,Most Valuable Player,1997,
mcwilta01w,Kim Perrot Sportsmanship Award,2005,
meadoma99w,Coach of the Year,2009,
milleco01w,Most Improved Player,2002,
milleke01w,Most Improved Player,2004,
mitchle01w,Most Improved Player,2010,G
montgre01w,Sixth Woman of the Year,2012,G
moorema01w,Rookie of the Year,2011,F
nolande01w,WNBA Finals Most Valuable Player,2006,
ogwumnn01w,Rookie of the Year,2012,F
palmewe01w,Most Improved Player,2004,
parkeca01w,Most Valuable Player,2008,
parkeca01w,Rookie of the Year,2008,
penicti01w,WNBA All Decade Team Honorable Mention,2006,G
penicti01w,Peak Performer: Assists,2010,G
phillta01w,All-Star Game Most Valuable Player,1997,
phillta01w,Most Improved Player,2000,
pierspl01w,Sixth Woman of the Year,2007,
pondeca01w,WNBA Finals Most Valuable Player,2007,
pricear01w,Rookie of the Year,2007,
reidtr01w,Rookie of the Year,1998,
rileyru01w,WNBA Finals Most Valuable Player,2003,
rileyru01w,Kim Perrot Sportsmanship,2011,C
robincr01w,New Pro Award,1997,
smithka01w,WNBA Finals Most Valuable Player,2008,
smithka01w,WNBA All-Decade Team,2006,F
snowmi01w,Most Improved Player,2003,
staleda01w,Kim Perrot Sportsmanship Award,1999,
staleda01w,Kim Perrot Sportsmanship Award,2006,
staleda01w,WNBA All-Decade Team,2006,G
stanlma99w,Coach of the Year,2002,
stileja01w,Rookie of the Year,2001,
stillva01w,ABL Playoffs Most Valuable Player,1997,
stillva01w,ABL Playoffs Most Valuable Player,1998,
swoopsh01w,All-Star Game Most Valuable Player,2005,
swoopsh01w,Defensive Player of the Year,2000,
swoopsh01w,Defensive Player of the Year,2002,
swoopsh01w,Defensive Player of the Year,2003,
swoopsh01w,Most Valuable Player,2000,
swoopsh01w,Most Valuable Player,2002,
swoopsh01w,Most Valuable Player,2005,
swoopsh01w,WNBA All-Decade Team,2006,F
tauradi01w,Most Valuable Player,2009,
tauradi01w,Rookie of the Year,2004,
tauradi01w,WNBA Finals Most Valuable Player,2009,
tauradi01w,WNBA All Decade Team Honorable Mention,2006,G
tauradi01w,Peak Performer: Points,2010,G-F
tauradi01w,Peak Performer: Points,2011,G-F
teaslni01w,All-Star Game Most Valuable Player,2003,
thibami99w,Coach of the Year,2006,
thibami99w,Coach of the Year,2008,
thompti01w,All-Star Game Most Valuable Player,2000,
thompti01w,WNBA All-Decade Team,2006,F
tolivkr01w,Most Improved Player,2012,G
vaughki01w,Most Improved Player,2011,C
weathte01w,Defensive Player of the Year,1997,
weathte01w,Defensive Player of the Year,1998,
weathte01w,WNBA All Decade Team Honorable Mention,2006,G
whaleli01w,Peak Performer: Assists,2011,G
whaleli01w,Peak Performer: Assists,2012,G
whisejo99w,Coach of the Year,2005,
wickssu01w,Kim Perrot Sportsmanship Award,2001,
wiggica01w,Sixth Woman of the Year,2008,
willina01w,Most Valuable Player,1998,
zhengha01w,Kim Perrot Sportsmanship Award,1997,
